treatment,problem,arg_type,arg_mut_rate,mem_searching,solutions_found,total_runs,min_solution_size
PROBLEM_median__ARGS_NUM__MUT_0025,median,Numeric,0.0025,0,8,30,16
PROBLEM_median__ARGS_NUM__MUT_005,median,Numeric,0.005,0,15,30,13
PROBLEM_median__ARGS_NUM__MUT_0075,median,Numeric,0.0075,0,9,30,13
PROBLEM_median__ARGS_NUM__MUT_01,median,Numeric,0.01,0,16,30,9
PROBLEM_median__ARGS_NUM__MUT_025,median,Numeric,0.025,0,12,30,10
PROBLEM_median__ARGS_NUM__MUT_05,median,Numeric,0.05,0,14,30,11
PROBLEM_median__ARGS_NUM__MUT_075,median,Numeric,0.075,0,20,30,11
PROBLEM_median__ARGS_NUM__MUT_1,median,Numeric,0.1,0,10,30,14
PROBLEM_median__ARGS_NUM__MUT_5,median,Numeric,0.5,0,0,30,NONE
PROBLEM_median__ARGS_TAG_BF__MUT_00001,median,Tag-BitFlips,0.00001,0,3,30,33
PROBLEM_median__ARGS_TAG_BF__MUT_0001,median,Tag-BitFlips,0.0001,0,6,30,17
PROBLEM_median__ARGS_TAG_BF__MUT_001,median,Tag-BitFlips,0.001,0,16,30,20
PROBLEM_median__ARGS_TAG_BF__MUT_0025,median,Tag-BitFlips,0.0025,0,10,30,18
PROBLEM_median__ARGS_TAG_BF__MUT_005,median,Tag-BitFlips,0.005,0,13,30,8
PROBLEM_median__ARGS_TAG_BF__MUT_0075,median,Tag-BitFlips,0.0075,0,11,30,16
PROBLEM_median__ARGS_TAG_BF__MUT_01,median,Tag-BitFlips,0.01,0,16,30,14
PROBLEM_median__ARGS_TAG_BF__MUT_025,median,Tag-BitFlips,0.025,0,4,30,13
PROBLEM_median__ARGS_TAG_BF__MUT_05,median,Tag-BitFlips,0.05,0,0,30,NONE
PROBLEM_median__ARGS_TAG_BF__MUT_075,median,Tag-BitFlips,0.075,0,0,30,NONE
PROBLEM_median__ARGS_TAG_BF__MUT_1,median,Tag-BitFlips,0.1,0,0,30,NONE
PROBLEM_median__ARGS_TAG_BF__MUT_5,median,Tag-BitFlips,0.5,0,0,30,NONE
PROBLEM_number-io__ARGS_NUM__MUT_00001,number-io,Numeric,0.00001,0,14,30,3
PROBLEM_number-io__ARGS_NUM__MUT_0001,number-io,Numeric,0.0001,0,14,30,2
PROBLEM_number-io__ARGS_NUM__MUT_001,number-io,Numeric,0.001,0,14,30,2
PROBLEM_number-io__ARGS_NUM__MUT_0025,number-io,Numeric,0.0025,0,14,30,2
PROBLEM_number-io__ARGS_NUM__MUT_005,number-io,Numeric,0.005,0,19,30,2
PROBLEM_number-io__ARGS_NUM__MUT_0075,number-io,Numeric,0.0075,0,26,30,2
PROBLEM_number-io__ARGS_NUM__MUT_01,number-io,Numeric,0.01,0,26,30,2
PROBLEM_number-io__ARGS_NUM__MUT_025,number-io,Numeric,0.025,0,24,30,2
PROBLEM_number-io__ARGS_NUM__MUT_05,number-io,Numeric,0.05,0,28,30,2
PROBLEM_number-io__ARGS_NUM__MUT_075,number-io,Numeric,0.075,0,26,30,2
PROBLEM_number-io__ARGS_NUM__MUT_1,number-io,Numeric,0.1,0,30,30,2
PROBLEM_number-io__ARGS_NUM__MUT_5,number-io,Numeric,0.5,0,29,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_00001,number-io,Tag-BitFlips,0.00001,0,20,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_0001,number-io,Tag-BitFlips,0.0001,0,20,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_001,number-io,Tag-BitFlips,0.001,0,29,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_0025,number-io,Tag-BitFlips,0.0025,0,25,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_005,number-io,Tag-BitFlips,0.005,0,28,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_0075,number-io,Tag-BitFlips,0.0075,0,28,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_01,number-io,Tag-BitFlips,0.01,0,30,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_025,number-io,Tag-BitFlips,0.025,0,30,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_05,number-io,Tag-BitFlips,0.05,0,30,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_075,number-io,Tag-BitFlips,0.075,0,28,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_1,number-io,Tag-BitFlips,0.1,0,30,30,2
PROBLEM_number-io__ARGS_TAG_BF__MUT_5,number-io,Tag-BitFlips,0.5,0,26,30,5
PROBLEM_smallest__ARGS_NUM__MUT_00001,smallest,Numeric,0.00001,0,2,30,28
PROBLEM_smallest__ARGS_NUM__MUT_0001,smallest,Numeric,0.0001,0,0,30,NONE
PROBLEM_smallest__ARGS_NUM__MUT_001,smallest,Numeric,0.001,0,3,30,12
PROBLEM_smallest__ARGS_NUM__MUT_0025,smallest,Numeric,0.0025,0,10,30,9
PROBLEM_smallest__ARGS_NUM__MUT_005,smallest,Numeric,0.005,0,8,30,14
PROBLEM_smallest__ARGS_NUM__MUT_0075,smallest,Numeric,0.0075,0,12,30,11
PROBLEM_smallest__ARGS_NUM__MUT_01,smallest,Numeric,0.01,0,11,30,8
PROBLEM_smallest__ARGS_NUM__MUT_025,smallest,Numeric,0.025,0,18,30,10
PROBLEM_smallest__ARGS_NUM__MUT_05,smallest,Numeric,0.05,0,16,30,13
PROBLEM_smallest__ARGS_NUM__MUT_075,smallest,Numeric,0.075,0,11,30,7
PROBLEM_smallest__ARGS_NUM__MUT_1,smallest,Numeric,0.1,0,7,30,9
PROBLEM_smallest__ARGS_NUM__MUT_5,smallest,Numeric,0.5,0,0,30,NONE
PROBLEM_smallest__ARGS_TAG_BF__MUT_00001,smallest,Tag-BitFlips,0.00001,0,2,30,17
PROBLEM_smallest__ARGS_TAG_BF__MUT_0001,smallest,Tag-BitFlips,0.0001,0,9,30,12
PROBLEM_smallest__ARGS_TAG_BF__MUT_001,smallest,Tag-BitFlips,0.001,0,5,30,11
PROBLEM_smallest__ARGS_TAG_BF__MUT_0025,smallest,Tag-BitFlips,0.0025,0,12,30,10
PROBLEM_smallest__ARGS_TAG_BF__MUT_005,smallest,Tag-BitFlips,0.005,0,10,30,11
PROBLEM_smallest__ARGS_TAG_BF__MUT_0075,smallest,Tag-BitFlips,0.0075,0,6,30,14
PROBLEM_smallest__ARGS_TAG_BF__MUT_01,smallest,Tag-BitFlips,0.01,0,13,30,9
PROBLEM_smallest__ARGS_TAG_BF__MUT_025,smallest,Tag-BitFlips,0.025,0,6,30,9
PROBLEM_smallest__ARGS_TAG_BF__MUT_05,smallest,Tag-BitFlips,0.05,0,0,30,NONE
PROBLEM_smallest__ARGS_TAG_BF__MUT_075,smallest,Tag-BitFlips,0.075,0,0,30,NONE
PROBLEM_smallest__ARGS_TAG_BF__MUT_1,smallest,Tag-BitFlips,0.1,0,0,30,NONE
PROBLEM_smallest__ARGS_TAG_BF__MUT_5,smallest,Tag-BitFlips,0.5,0,0,30,NONE
